JW-HC-052,17_rna_DMSO_37C-30min_Mg
JW-HC-053,17_rna_DMSO_37C-30min_Mg
JW-HC-054,17_rna_DMSO_37C-30min_Mg
JW-HC-055,18_rna_DMSO_37C-30min_Mn
JW-HC-056,18_rna_DMSO_37C-30min_Mn
JW-HC-057,18_rna_DMSO_37C-30min_Mn
JW-HC-058,19_rna_DMSO_37C-2h_Mg
JW-HC-059,19_rna_DMSO_37C-2h_Mg
JW-HC-060,19_rna_DMSO_37C-2h_Mg
JW-HC-061,20_rna_DMSO_37C-2h_Mn
JW-HC-062,20_rna_DMSO_37C-2h_Mn
JW-HC-063,20_rna_DMSO_37C-2h_Mn
JW-HC-064,21_rna_C34-NM-1mM_37C-2h_Mn
JW-HC-065,21_rna_C34-NM-1mM_37C-2h_Mn
JW-HC-066,21_rna_C34-NM-1mM_37C-2h_Mn
JW-HC-067,22_rna_NM-only-1mM_37C-2h_Mn
JW-HC-068,22_rna_NM-only-1mM_37C-2h_Mn
JW-HC-069,22_rna_NM-only-1mM_37C-2h_Mn
JW-HC-070,23_rna_C34-Squarate-1mM_37C-30min_Mn
JW-HC-071,23_rna_C34-Squarate-1mM_37C-30min_Mn
JW-HC-072,23_rna_C34-Squarate-1mM_37C-30min_Mn
JW-HC-073,24_rna_Squarate-only-1mM_37C-30min_Mn
JW-HC-074,24_rna_Squarate-only-1mM_37C-30min_Mn
JW-HC-075,24_rna_Squarate-only-1mM_37C-30min_Mn
